iter	Passed	Remaining
863	3435	540
864	3438	536
865	3442	532
866	3445	528
867	3448	524
868	3451	520
869	3455	516
870	3458	512
871	3461	508
872	3465	504
873	3468	500
874	3471	495
875	3474	491
876	3478	487
877	3481	483
878	3484	479
879	3487	475
880	3490	471
881	3494	467
882	3499	463
883	3502	459
884	3507	455
885	3512	451
886	3517	448
887	3522	444
888	3526	440
889	3532	436
890	3539	432
891	3543	429
892	3548	425
893	3552	421
894	3557	417
895	3561	413
896	3565	409
897	3568	405
898	3573	401
899	3577	397
900	3582	393
901	3585	389
902	3591	385
903	3595	381
904	3599	377
905	3604	373
906	3607	369
907	3612	366
908	3618	362
909	3622	358
910	3627	354
911	3631	350
912	3635	346
913	3641	342
914	3645	338
915	3651	334
916	3656	330
917	3659	326
918	3664	323
919	3668	319
920	3672	314
921	3676	311
922	3680	307
923	3684	303
924	3688	299
925	3694	295
926	3699	291
927	3703	287
928	3707	283
929	3711	279
930	3715	275
931	3719	271
932	3723	267
933	3728	263
934	3732	259
935	3736	255
936	3742	251
937	3747	247
938	3751	243
939	3755	239
940	3759	235
941	3764	231
942	3768	227
943	3772	223
944	3775	219
945	3779	215
946	3783	211
947	3786	207
948	3789	203
949	3793	199
950	3799	195
951	3803	191
952	3807	187
953	3810	183
954	3814	179
955	3817	175
956	3821	171
957	3825	167
958	3829	163
959	3833	159
960	3837	155
961	3840	151
962	3845	147
963	3849	143
964	3854	139
965	3857	135
966	3860	131
967	3864	127
968	3867	123
969	3870	119
970	3873	115
971	3875	111
972	3878	107
973	3881	103
974	3884	99
975	3887	95
976	3890	91
977	3893	87
978	3896	83
979	3899	79
980	3902	75
981	3905	71
982	3908	67
983	3911	63
984	3915	59
985	3918	55
986	3921	51
987	3924	47
988	3927	43
989	3930	39
990	3933	35
991	3936	31
992	3939	27
993	3942	23
994	3946	19
995	3949	15
996	3952	11
997	3955	7
998	3958	3
999	3961	0
